ts,iso_ts,symbol,interval,open,high,low,close,volume
1761345420000,2025-10-24T22:37:00+00:00,BTCUSDT,1m,111055.69,111055.69,111055.69,111055.69,0.0
1761345420000,2025-10-24T22:37:00+00:00,ETHUSDT,1m,3938.61,3938.61,3938.46,3938.46,1.9498
1761345480000,2025-10-24T22:38:00+00:00,BTCUSDT,1m,111040.27,111040.27,111040.27,111040.27,0.0
1761345420000,2025-10-24T22:37:00+00:00,ETHUSDT,1m,3938.61,3938.61,3937.1,3937.1,48.4601
1761427080000,2025-10-25T21:18:00+00:00,BTCUSDT,1m,111439.23,111439.23,111439.23,111439.23,0.00058
1761427080000,2025-10-25T21:18:00+00:00,ETHUSDT,1m,3947.58,3947.58,3947.58,3947.58,0.0
1761427140000,2025-10-25T21:19:00+00:00,BTCUSDT,1m,111416.44,111416.44,111416.44,111416.44,0.0
1761427140000,2025-10-25T21:19:00+00:00,ETHUSDT,1m,3945.4,3945.4,3945.4,3945.4,0.0718
1761427200000,2025-10-25T21:20:00+00:00,BTCUSDT,1m,111416.43,111416.44,111416.43,111416.43,0.00198
1761427200000,2025-10-25T21:20:00+00:00,ETHUSDT,1m,3945.97,3945.97,3945.97,3945.97,0.0
1761427260000,2025-10-25T21:21:00+00:00,BTCUSDT,1m,111408.24,111408.24,111408.23,111408.23,0.00446
1761427260000,2025-10-25T21:21:00+00:00,ETHUSDT,1m,3946.45,3946.48,3946.44,3946.48,0.3851
1761427320000,2025-10-25T21:22:00+00:00,BTCUSDT,1m,111419.97,111419.97,111419.97,111419.97,0.0005
1761427320000,2025-10-25T21:22:00+00:00,ETHUSDT,1m,3945.97,3945.98,3945.97,3945.98,1.5455
1761427380000,2025-10-25T21:23:00+00:00,BTCUSDT,1m,111419.97,111419.98,111419.97,111419.98,0.00945
1761427380000,2025-10-25T21:23:00+00:00,ETHUSDT,1m,3944.51,3944.51,3944.51,3944.51,0.0
1761427440000,2025-10-25T21:24:00+00:00,BTCUSDT,1m,111419.97,111419.97,111419.97,111419.97,0.00244
1761427440000,2025-10-25T21:24:00+00:00,ETHUSDT,1m,3944.63,3944.63,3944.63,3944.63,0.0
1761427500000,2025-10-25T21:25:00+00:00,BTCUSDT,1m,111431.11,111431.11,111431.11,111431.11,0.0845
1761427500000,2025-10-25T21:25:00+00:00,ETHUSDT,1m,3944.67,3944.67,3944.67,3944.67,0.0
1761428160000,2025-10-25T21:36:00+00:00,BTCUSDT,1m,111375.82,111375.82,111375.82,111375.82,0.00035
1761428160000,2025-10-25T21:36:00+00:00,ETHUSDT,1m,3950.48,3950.48,3950.48,3950.48,0.0026
1761499500000,2025-10-26T17:25:00+00:00,BTCUSDT,1m,113642.4,113642.41,113642.4,113642.4,0.02331
